bsr_state_id,bsr_state_name,selected_tsr_state_id,selected_tsr_state_name,selected_mapping_type,selected_confidence,alternative_mapping_count,selection_notes
501,STATE_501,501,STATE_501,same_id_same_area,1.000,1,province_overlap=14
502,STATE_502,502,STATE_502,split,0.727,1,split; province_overlap=8; tsr_overlap_rank=1/3; bsr_source_count=1
503,STATE_503,944,STATE_944,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
504,STATE_504,280,STATE_280,merge,0.750,2,split+merge; province_overlap=3; tsr_overlap_rank=2/3; bsr_source_count=2
505,STATE_505,505,STATE_505,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
506,STATE_506,952,STATE_952,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1
507,Magallanes,949,Aysen,merge,0.833,2,merge; province_overlap=5; bsr_source_count=2
508,Tucuman,960,STATE_960,merge,1.000,2,merge; province_overlap=4; bsr_source_count=2
509,Chaco Australis,509,Chaco Australis,merge,1.000,2,merge; province_overlap=8; bsr_source_count=2
510,STATE_510,510,STATE_510,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=1
511,Mendoza,511,Mendoza,merge,1.000,3,merge; province_overlap=5; bsr_source_count=3
512,STATE_512,954,STATE_954,merge,0.800,2,merge; province_overlap=4; bsr_source_count=2
513,STATE_513,513,Tlmecen,merge,0.625,2,split+merge; province_overlap=5; tsr_overlap_rank=2/5; bsr_source_count=2
514,STATE_514,514,Algerian Desert,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=2/4; bsr_source_count=1
515,STATE_515,515,STATE_515,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
516,STATE_516,,,new_bsr_state,1.000,3,no TSR overlay candidate
517,STATE_517,517,STATE_517,same_id_same_area,1.000,1,province_overlap=14
518,STATE_518,518,STATE_518,same_id_same_area,1.000,1,province_overlap=6
519,STATE_519,519,STATE_519,same_id_same_area,1.000,1,province_overlap=15
520,STATE_520,520,STATE_520,same_id_same_area,1.000,1,province_overlap=25
521,STATE_521,521,STATE_521,merge,1.000,3,merge; province_overlap=31; bsr_source_count=3
522,STATE_522,522,STATE_522,same_id_same_area,1.000,1,province_overlap=20
523,STATE_523,523,STATE_523,merge,1.000,2,merge; province_overlap=21; bsr_source_count=2
524,STATE_524,524,STATE_524,same_id_same_area,1.000,1,province_overlap=10
525,STATE_525,525,STATE_525,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
526,STATE_526,526,STATE_526,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1
527,STATE_527,527,STATE_527,merge,0.667,2,split+merge; province_overlap=12; tsr_overlap_rank=1/3; bsr_source_count=2
528,STATE_528,528,North Kyushu,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1
529,Chugoku,529,"San'yo, formerly Chugoku",merge,1.000,2,merge; province_overlap=7; bsr_source_count=2
530,STATE_530,530,Shikoku,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
531,STATE_531,531,Kansai,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1
532,Tokai,532,Tokai,same_id_same_area,1.000,1,province_overlap=9
533,STATE_533,533,North Tohoku,merge,1.000,2,merge; province_overlap=11; bsr_source_count=2
534,Hokuriku,534,"was Hokuriku, is actually Kōshin'etsu",split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=1
535,Koshinetsu,535,"was Koshinetsu, is actually Hokuriku",merge,1.000,2,merge; province_overlap=4; bsr_source_count=2
536,STATE_536,536,STATE_536,same_id_same_area,1.000,1,province_overlap=12
537,STATE_537,537,STATE_537,same_id_same_area,1.000,1,province_overlap=3
538,STATE_538,538,STATE_538,merge,0.714,3,split+merge; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=3
539,STATE_539,539,STATE_539,same_id_same_area,1.000,1,province_overlap=4
540,STATE_540,892,STATE_892,merge,1.000,3,merge; province_overlap=6; bsr_source_count=3
541,STATE_541,893,STATE_893,merge,1.000,2,merge; province_overlap=5; bsr_source_count=2
542,STATE_542,542,STATE_542,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/4; bsr_source_count=1
543,STATE_543,543,STATE_543,same_id_same_area,1.000,1,province_overlap=10
544,STATE_544,544,STATE_544,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
545,STATE_545,545,STATE_545,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
546,STATE_546,546,STATE_546,split,1.000,1,split; province_overlap=11; tsr_overlap_rank=1/3; bsr_source_count=1
547,STATE_547,904,STATE_904,merge,1.000,4,merge; province_overlap=3; bsr_source_count=3
548,STATE_548,548,STATE_548,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
549,STATE_549,549,"Kurdufan / was ""Sudan""",split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
550,STATE_550,550,STATE_550,same_id_same_area,1.000,1,province_overlap=6
551,STATE_551,551,STATE_551,merge,1.000,4,merge; province_overlap=13; bsr_source_count=3
552,STATE_552,552,STATE_552,merge,0.800,3,merge; province_overlap=8; bsr_source_count=2
553,STATE_553,553,STATE_553,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1
554,STATE_554,554,STATE_554,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1
555,Kuril Islands,555,Kuril Islands,same_id_same_area,1.000,1,province_overlap=3
556,Mali (previously French West Africa),556,STATE_556,same_id_same_area,1.000,1,province_overlap=4
557,Mauritania,557,Mauritania,same_id_same_area,1.000,1,province_overlap=5
558,STATE_558,902,STATE_902,merge,1.000,4,merge; province_overlap=7; bsr_source_count=4
559,STATE_559,559,STATE_559,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
560,STATE_560,560,Nikolayevsk,split,1.000,1,split; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=1
561,STATE_561,561,Amur,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
562,Okhotsk,562,Okhotsk,merge,1.000,2,merge; province_overlap=11; bsr_source_count=2
563,STATE_563,563,Chita,merge,1.000,4,merge; province_overlap=21; bsr_source_count=2
564,Ulan Ude,564,Ulan Ude,same_id_same_area,0.900,2,province_overlap=10
565,Bodaybo,565,Bodaybo,same_name,0.750,2,province_overlap=4
566,Irktusk,566,Irktusk,same_id_same_area,0.900,2,province_overlap=9
567,STATE_567,567,Bratsk,same_id_same_area,1.000,1,province_overlap=17
568,Krasnoyarsk,568,Krasnoyarsk,same_id_same_area,1.000,1,province_overlap=6
569,Kemerovo,569,Khakassia,same_id_same_area,1.000,1,province_overlap=13
570,Novosibirsk,570,Novosibirsk,same_id_same_area,1.000,1,province_overlap=16
571,Omsk,571,Omsk,same_id_same_area,1.000,1,province_overlap=11
572,Chelyabinsk,572,Chelyabinsk,same_id_same_area,0.900,2,province_overlap=8
573,Zlatoust,573,Zlatoust,same_name,0.750,2,province_overlap=6
574,STATE_574,574,Yakutsk,same_id_same_area,1.000,3,province_overlap=24
575,Kirensk,575,Kirensk,same_id_same_area,1.000,2,province_overlap=13
576,Yeniseisk,576,Yeniseisk,same_id_same_area,1.000,1,province_overlap=16
577,STATE_577,577,STATE_577,same_id_same_area,1.000,1,province_overlap=20
578,Tomsk,578,Tomsk,same_id_same_area,1.000,1,province_overlap=21
579,Salekhard,579,Salekhard,same_id_same_area,1.000,1,province_overlap=8
580,Tobolsk,580,Tobolsk,same_id_same_area,1.000,2,province_overlap=19
581,STATE_581,581,STATE_581,split,0.600,3,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
582,STATE_582,582,STATE_582,same_id_same_area,0.900,2,province_overlap=8
583,STATE_583,583,STATE_583,split,1.000,1,split; province_overlap=17; tsr_overlap_rank=1/3; bsr_source_count=1
584,STATE_584,584,STATE_584,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=3/6; bsr_source_count=1
585,STATE_585,585,Navoiy,merge,0.667,3,merge; province_overlap=4; bsr_source_count=3
586,STATE_586,586,STATE_586,merge,1.000,2,merge; province_overlap=10; bsr_source_count=2
587,STATE_587,587,STATE_587,same_id_same_area,1.000,1,province_overlap=12
588,STATE_588,882,Pavlodar,merge,1.000,2,merge; province_overlap=9; bsr_source_count=2
589,STATE_589,589,STATE_589,merge,0.750,2,split+merge; province_overlap=6; tsr_overlap_rank=2/2; bsr_source_count=2
590,Akmolinsk,590,Akmolinsk,merge,1.000,2,merge; province_overlap=28; bsr_source_count=2
591,STATE_591,591,STATE_591,same_id_same_area,1.000,1,province_overlap=5
592,STATE_592,592,STATE_592,merge,0.889,2,split+merge; province_overlap=8; tsr_overlap_rank=1/3; bsr_source_count=2
593,STATE_593,593,STATE_593,split,1.000,1,split; province_overlap=13; tsr_overlap_rank=1/2; bsr_source_count=1
594,STATE_594,1033,STATE_1033,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=1
595,STATE_595,595,STATE_595,same_id_same_area,1.000,1,province_overlap=24
596,STATE_596,596,STATE_596,same_id_same_area,1.000,1,province_overlap=22
597,STATE_597,,,new_bsr_state,1.000,4,no TSR overlay candidate
598,STATE_598,598,STATE_598,same_name,0.750,3,province_overlap=9
599,STATE_599,594,STATE_594,split,0.929,2,split; province_overlap=13; tsr_overlap_rank=1/2; bsr_source_count=1
600,STATE_600,600,STATE_600,same_id_same_area,0.931,2,province_overlap=27
601,STATE_601,601,STATE_601,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
602,STATE_602,602,STATE_602,same_id_same_area,0.947,2,province_overlap=18
603,STATE_603,603,STATE_603,same_id_same_area,0.900,2,province_overlap=7
604,STATE_604,604,STATE_604,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
605,STATE_605,,,new_bsr_state,1.000,1,no TSR overlay candidate
606,STATE_606,606,STATE_606,same_id_same_area,0.900,3,province_overlap=14
607,STATE_607,607,STATE_607,same_id_same_area,1.000,1,province_overlap=20
608,STATE_608,608,STATE_608,same_id_same_area,1.000,1,province_overlap=6
609,STATE_609,609,East Hebei,same_id_same_area,0.900,3,province_overlap=6
610,STATE_610,610,Jehol,merge,0.889,2,split+merge; province_overlap=8; tsr_overlap_rank=2/3; bsr_source_count=2
611,STATE_611,611,South Chahar,merge,0.600,1,split+merge; province_overlap=3; tsr_overlap_rank=2/2; bsr_source_count=2
612,STATE_612,612,STATE_612,merge,0.786,2,split+merge; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=2
613,STATE_613,613,Shanghai,same_id_same_area,1.000,1,province_overlap=2
614,Hebei,614,Hebei,same_id_same_area,0.929,3,province_overlap=13
615,STATE_615,615,STATE_615,merge,1.000,2,merge; province_overlap=22; bsr_source_count=2
616,STATE_616,1040,STATE_1040,merge,1.000,2,merge; province_overlap=6; bsr_source_count=2
617,STATE_617,617,STATE_617,merge,0.917,5,split+merge; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=5
618,STATE_618,618,Dzungaria,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=3/5; bsr_source_count=1
619,STATE_619,619,Yarkand,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
620,STATE_620,620,STATE_620,same_id_same_area,0.900,2,province_overlap=8
621,STATE_621,621,STATE_621,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/2; bsr_source_count=1
622,STATE_622,622,STATE_622,same_name,0.750,3,province_overlap=2
623,STATE_623,623,Luzon,merge,1.000,3,merge; province_overlap=11; bsr_source_count=3
624,STATE_624,624,Central Islands,merge,1.000,2,merge; province_overlap=6; bsr_source_count=2
625,STATE_625,625,STATE_625,same_id_same_area,1.000,1,province_overlap=5
626,STATE_626,626,STATE_626,same_id_same_area,1.000,1,province_overlap=3
627,STATE_627,1026,STATE_1026,merge,1.000,3,merge; province_overlap=11; bsr_source_count=3
628,STATE_628,628,STATE_628,same_id_same_area,1.000,1,province_overlap=9
629,STATE_629,629,STATE_629,same_id_same_area,1.000,1,province_overlap=5
630,STATE_630,630,STATE_630,same_id_same_area,1.000,1,province_overlap=1
631,STATE_631,631,STATE_631,same_id_same_area,1.000,1,province_overlap=1
632,STATE_632,632,STATE_632,same_id_same_area,1.000,1,province_overlap=1
633,STATE_633,633,STATE_633,same_id_same_area,1.000,1,province_overlap=9
634,STATE_634,634,STATE_634,same_id_same_area,1.000,1,province_overlap=10
635,STATE_635,635,STATE_635,same_id_same_area,1.000,1,province_overlap=6
636,STATE_636,636,STATE_636,same_id_same_area,1.000,1,province_overlap=3
637,STATE_637,637,Kamchatka,same_id_same_area,1.000,1,province_overlap=7
638,STATE_638,638,STATE_638,same_id_same_area,1.000,1,province_overlap=1
639,STATE_639,639,STATE_639,same_id_same_area,1.000,1,province_overlap=5
640,STATE_640,998,STATE_998,merge,0.714,3,split+merge; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=3
641,STATE_641,641,STATE_641,split,0.500,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
642,STATE_642,642,STATE_642,same_id_same_area,1.000,1,province_overlap=1
643,STATE_643,643,STATE_643,same_id_same_area,1.000,1,province_overlap=4
644,STATE_644,644,Kolyma,merge,1.000,4,merge; province_overlap=6; bsr_source_count=2
645,STATE_645,645,STATE_645,same_id_same_area,1.000,1,province_overlap=1
646,STATE_646,646,STATE_646,same_id_same_area,1.000,1,province_overlap=3
647,STATE_647,647,STATE_647,same_id_same_area,1.000,1,province_overlap=2
648,STATE_648,648,STATE_648,same_id_same_area,1.000,1,province_overlap=1
649,STATE_649,649,STATE_649,same_id_same_area,1.000,1,province_overlap=1
650,STATE_650,650,STATE_650,same_id_same_area,1.000,1,province_overlap=1
651,Ufa,651,Ufa,same_id_same_area,1.000,1,province_overlap=18
652,STATE_652,652,STATE_652,same_id_same_area,1.000,1,province_overlap=22
653,Sverdlovsk,,,new_bsr_state,1.000,2,no TSR overlay candidate
654,Gorno-Altaysk,654,Gorno-Altaysk,same_id_same_area,1.000,1,province_overlap=5
655,STATE_655,655,STATE_655,same_id_same_area,1.000,1,province_overlap=3
656,STATE_656,,,new_bsr_state,1.000,1,no TSR overlay candidate
657,Birobidzhan,657,Birobidzhan,same_id_same_area,1.000,1,province_overlap=19
658,STATE_658,658,STATE_658,same_id_same_area,1.000,1,province_overlap=4
659,STATE_659,659,STATE_659,merge,0.750,1,split+merge; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=2
660,STATE_660,660,STATE_660,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
661,STATE_661,661,STATE_661,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=1/2; bsr_source_count=1
662,STATE_662,662,STATE_662,merge,0.667,2,split+merge; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=2
663,STATE_663,663,STATE_663,split,1.000,1,split; province_overlap=12; tsr_overlap_rank=1/2; bsr_source_count=1
664,STATE_664,664,STATE_664,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
665,STATE_665,665,STATE_665,split,1.000,1,split; province_overlap=6; tsr_overlap_rank=1/3; bsr_source_count=1
666,STATE_666,666,STATE_666,split,1.000,1,split; province_overlap=23; tsr_overlap_rank=1/2; bsr_source_count=1
667,STATE_667,667,STATE_667,merge,0.417,1,merge; province_overlap=5; bsr_source_count=3
668,STATE_668,668,STATE_668,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/2; bsr_source_count=1
669,STATE_669,1079,STATE_1079,merge,0.857,2,split+merge; province_overlap=6; tsr_overlap_rank=1/2; bsr_source_count=2
670,STATE_670,670,STATE_670,split,1.000,1,split; province_overlap=13; tsr_overlap_rank=1/3; bsr_source_count=1
671,STATE_671,671,STATE_671,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=2/3; bsr_source_count=1
672,STATE_672,1070,STATE_1070,split,1.000,1,split; province_overlap=8; tsr_overlap_rank=1/4; bsr_source_count=1
673,STATE_673,673,STATE_673,same_id_same_area,1.000,1,province_overlap=12
674,STATE_674,1096,STATE_1096,same_name,1.000,1,province_overlap=9
675,STATE_675,675,STATE_675,same_name,0.750,2,province_overlap=2
676,STATE_676,676,STATE_676,split,0.500,1,split; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=1
677,STATE_677,677,STATE_677,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
678,STATE_678,678,STATE_678,merge,0.500,2,split+merge; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=2
679,STATE_679,856,STATE_856,merge,0.400,3,split+merge; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=2
680,STATE_680,680,STATE_680,merge,1.000,2,merge; province_overlap=4; bsr_source_count=2
681,STATE_681,681,Cape,split,0.667,2,split; province_overlap=2; tsr_overlap_rank=3/8; bsr_source_count=1
682,STATE_682,682,STATE_682,split,1.000,1,split; province_overlap=9; tsr_overlap_rank=2/4; bsr_source_count=1
683,STATE_683,683,STATE_683,merge,0.333,2,merge; province_overlap=2; bsr_source_count=2
684,STATE_684,684,STATE_684,same_id_same_area,1.000,1,province_overlap=11
685,STATE_685,685,STATE_685,same_id_same_area,1.000,1,province_overlap=1
686,STATE_686,686,STATE_686,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=1/2; bsr_source_count=1
687,STATE_687,687,STATE_687,split,0.500,1,split; province_overlap=1; tsr_overlap_rank=3/3; bsr_source_count=1
688,STATE_688,688,STATE_688,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
689,STATE_689,689,STATE_689,same_id_same_area,1.000,1,province_overlap=2
690,STATE_690,690,STATE_690,same_id_same_area,1.000,1,province_overlap=3
691,STATE_691,691,STATE_691,same_id_same_area,1.000,1,province_overlap=2
692,STATE_692,692,STATE_692,same_id_same_area,1.000,1,province_overlap=4
693,STATE_693,693,STATE_693,same_id_same_area,1.000,1,province_overlap=2
694,STATE_694,694,STATE_694,same_id_same_area,1.000,1,province_overlap=3
695,STATE_695,695,STATE_695,same_id_same_area,1.000,1,province_overlap=1
696,STATE_696,696,STATE_696,same_id_same_area,1.000,1,province_overlap=1
697,STATE_697,697,STATE_697,same_id_same_area,1.000,1,province_overlap=1
698,STATE_698,698,STATE_698,same_id_same_area,1.000,1,province_overlap=1
699,STATE_699,699,STATE_699,split,1.000,1,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
700,STATE_700,700,STATE_700,same_id_same_area,1.000,1,province_overlap=2
701,STATE_701,701,STATE_701,same_id_same_area,1.000,1,province_overlap=2
702,STATE_702,702,STATE_702,same_id_same_area,1.000,1,province_overlap=1
703,STATE_703,703,STATE_703,same_id_same_area,1.000,1,province_overlap=1
704,STATE_704,704,STATE_704,same_id_same_area,1.000,1,province_overlap=1
705,STATE_705,705,STATE_705,same_id_same_area,1.000,1,province_overlap=1
706,STATE_706,706,STATE_706,same_id_same_area,1.000,1,province_overlap=1
707,STATE_707,707,STATE_707,same_id_same_area,1.000,1,province_overlap=1
708,STATE_708,708,STATE_708,same_id_same_area,1.000,1,province_overlap=1
709,STATE_709,709,STATE_709,same_id_same_area,1.000,1,province_overlap=1
710,STATE_710,710,STATE_710,same_id_same_area,1.000,1,province_overlap=1
711,STATE_711,711,STATE_711,same_id_same_area,1.000,1,province_overlap=1
712,STATE_712,712,STATE_712,same_id_same_area,1.000,1,province_overlap=1
713,STATE_713,713,STATE_713,same_id_same_area,1.000,1,province_overlap=1
714,STATE_714,714,STATE_714,merge,0.917,2,split+merge; province_overlap=22; tsr_overlap_rank=1/3; bsr_source_count=2
715,STATE_715,715,STATE_715,merge,0.667,2,split+merge; province_overlap=6; tsr_overlap_rank=2/6; bsr_source_count=2
716,STATE_716,716,STATE_716,split,1.000,1,split; province_overlap=14; tsr_overlap_rank=1/4; bsr_source_count=1
717,STATE_717,717,STATE_717,split,0.957,2,split; province_overlap=22; tsr_overlap_rank=1/2; bsr_source_count=1
718,STATE_718,890,STATE_890,merge,1.000,2,merge; province_overlap=7; bsr_source_count=2
719,STATE_719,719,Natal,split,0.667,2,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
720,STATE_720,720,STATE_720,same_id_same_area,1.000,1,province_overlap=1
721,STATE_721,721,STATE_721,same_id_same_area,1.000,1,province_overlap=5
722,STATE_722,722,PETSAMO,same_id_same_area,1.000,1,province_overlap=4
723,STATE_723,723,STATE_723,merge,1.000,3,merge; province_overlap=6; bsr_source_count=3
724,STATE_724,724,STATE_724,split,1.000,1,split; province_overlap=15; tsr_overlap_rank=1/2; bsr_source_count=1
725,STATE_725,725,STATE_725,same_id_same_area,1.000,1,province_overlap=1
726,STATE_726,726,STATE_726,same_id_same_area,1.000,1,province_overlap=1
727,STATE_727,727,STATE_727,same_id_same_area,1.000,1,province_overlap=3
728,STATE_728,728,STATE_728,same_id_same_area,1.000,1,province_overlap=1
729,STATE_729,729,STATE_729,same_id_same_area,1.000,1,province_overlap=1
730,STATE_730,730,STATE_730,same_id_same_area,1.000,1,province_overlap=1
731,STATE_731,731,STATE_731,merge,0.667,2,split+merge; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=2
732,STATE_732,732,STATE_732,split,1.000,1,split; province_overlap=11; tsr_overlap_rank=1/2; bsr_source_count=1
733,STATE_733,733,STATE_733,same_id_same_area,1.000,1,province_overlap=2
734,STATE_734,734,STATE_734,same_id_same_area,1.000,1,province_overlap=1
735,STATE_735,1066,STATE_1066,same_name,1.000,2,province_overlap=3
736,STATE_736,852,Dalmatia,split,1.000,1,split; province_overlap=1; tsr_overlap_rank=2/2; bsr_source_count=1
737,STATE_737,737,STATE_737,same_id_same_area,1.000,1,province_overlap=16
738,STATE_738,738,STATE_738,same_id_same_area,1.000,1,province_overlap=1
739,STATE_739,739,STATE_739,same_id_same_area,1.000,1,province_overlap=1
740,STATE_740,740,STATE_740,same_id_same_area,1.000,1,province_overlap=5
741,STATE_741,741,STATE_741,split,1.000,1,split; province_overlap=11; tsr_overlap_rank=1/4; bsr_source_count=1
742,STATE_742,742,STATE_742,split,1.000,1,split; province_overlap=7; tsr_overlap_rank=1/3; bsr_source_count=1
743,STATE_743,743,STATE_743,same_id_same_area,1.000,1,province_overlap=1
744,STATE_744,744,STATE_744,same_id_same_area,1.000,1,province_overlap=8
745,STATE_745,745,STATE_745,same_id_same_area,1.000,1,province_overlap=2
746,STATE_746,746,STATE_746,same_id_same_area,1.000,1,province_overlap=7
747,STATE_747,747,STATE_747,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/6; bsr_source_count=1
748,STATE_748,,,new_bsr_state,1.000,2,no TSR overlay candidate
749,STATE_749,749,STATE_749,same_id_same_area,1.000,1,province_overlap=7
750,STATE_750,750,STATE_750,same_id_same_area,1.000,1,province_overlap=6
751,STATE_751,751,STATE_751,same_name,0.750,2,province_overlap=2
752,STATE_752,,,new_bsr_state,1.000,0,no TSR overlay candidate
753,STATE_753,,,new_bsr_state,1.000,3,no TSR overlay candidate
754,STATE_754,754,STATE_754,split,0.800,1,split; province_overlap=4; tsr_overlap_rank=1/4; bsr_source_count=1
755,STATE_755,755,STATE_755,merge,0.714,2,split+merge; province_overlap=5; tsr_overlap_rank=1/3; bsr_source_count=2
756,STATE_756,1044,STATE_1044,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
757,STATE_757,757,STATE_757,merge,1.000,2,merge; province_overlap=7; bsr_source_count=2
758,STATE_758,758,STATE_758,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/3; bsr_source_count=1
759,STATE_759,1042,STATE_1042,split,0.833,2,split; province_overlap=5; tsr_overlap_rank=1/2; bsr_source_count=1
760,STATE_760,760,STATE_760,split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
761,STATE_761,761,STATE_761,merge,0.917,2,merge; province_overlap=11; bsr_source_count=2
762,STATE_762,762,STATE_762,same_id_same_area,1.000,1,province_overlap=2
763,STATE_763,763,STATE_763,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
764,STATE_764,764,STATE_764,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
765,STATE_765,765,STATE_765,same_id_same_area,1.000,1,province_overlap=1
766,STATE_766,766,STATE_766,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/2; bsr_source_count=1
767,STATE_767,767,North Darfur,same_id_same_area,1.000,1,province_overlap=3
768,Rwanda,768,Rwanda,same_id_same_area,1.000,1,province_overlap=1
769,Burundi,769,Burundi,same_id_same_area,1.000,1,province_overlap=1
770,STATE_770,770,STATE_770,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/2; bsr_source_count=1
771,Zambia,771,Zambia,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/4; bsr_source_count=1
772,STATE_772,772,Middle Congo (Brazzaville),split,1.000,1,split; province_overlap=4; tsr_overlap_rank=1/2; bsr_source_count=1
773,Cameroon,773,Cameroon,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
774,STATE_774,774,STATE_774,split,1.000,1,split; province_overlap=10; tsr_overlap_rank=1/2; bsr_source_count=1
775,BET - Borkou-Ennedi-Tibesti region,775,BET - Borkou-Ennedi-Tibesti region,same_id_same_area,1.000,1,province_overlap=2
776,Benin/Dahomey,776,Benin/Dahomey,same_id_same_area,1.000,1,province_overlap=3
777,STATE_777,777,STATE_777,same_id_same_area,1.000,1,province_overlap=3
778,Upper Volta,778,Upper Volta,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
779,Ivory Coast,779,Ivory Coast,same_id_same_area,1.000,1,province_overlap=6
780,Guinea,780,Guinea,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/2; bsr_source_count=1
781,STATE_781,781,Niger,same_id_same_area,1.000,1,province_overlap=3
782,Tombouctou,782,Tombouctou,same_id_same_area,1.000,1,province_overlap=4
783,Sidi Ifni,783,Sidi Ifni,same_id_same_area,1.000,1,province_overlap=1
784,STATE_784,784,STATE_784,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=1/3; bsr_source_count=1
785,STATE_785,785,STATE_785,split,0.667,2,split; province_overlap=2; tsr_overlap_rank=2/3; bsr_source_count=1
786,STATE_786,786,Mauritanian Desert,split,1.000,1,split; province_overlap=3; tsr_overlap_rank=1/3; bsr_source_count=1
787,STATE_787,787,Northern Kashmir,province_overlap,0.750,2,province_overlap=3
788,STATE_788,51,STATE_51,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
789,STATE_789,42,STATE_42,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=2/5; bsr_source_count=1
790,STATE_790,55,STATE_55,split,1.000,1,split; province_overlap=2; tsr_overlap_rank=3/6; bsr_source_count=1
791,STATE_791,55,STATE_55,merge,0.500,2,split+merge; province_overlap=1; tsr_overlap_rank=6/6; bsr_source_count=2
792,STATE_792,42,STATE_42,merge,0.333,3,split+merge; province_overlap=1; tsr_overlap_rank=5/5; bsr_source_count=2
793,STATE_793,64,STATE_64,merge,0.667,2,split+merge; province_overlap=4; tsr_overlap_rank=2/6; bsr_source_count=2
